C,Test_error,Train_error,kernel_h_p
8,93.40659341,95.75805185,2
8,93.95604396,97.25058916,3
8,93.95604396,97.40769835,4
8,93.13186813,97.09347997,5
8,93.13186813,96.5435978,6
8,93.13186813,96.5435978,7
8,93.13186813,97.09347997,8
8,93.13186813,97.56480754,9
8,93.40659341,98.03613511,10
8,93.95604396,98.2717989,11
8,94.23076923,98.50746269,12
8,94.50549451,98.66457188,13
8,94.78021978,99.13589945,14
8,94.78021978,99.37156324,15
8,94.78021978,99.52867243,16
8,95.32967033,99.60722702,17
8,95.87912088,99.60722702,18
8,95.87912088,99.9214454,19
8,95.87912088,99.9214454,20
9,78.2967033,81.85388845,1
9,93.40659341,95.75805185,2
9,93.95604396,97.25058916,3
9,93.68131868,97.40769835,4
9,93.13186813,97.09347997,5
9,93.13186813,96.5435978,6
9,93.13186813,96.5435978,7
9,93.13186813,97.09347997,8
9,93.13186813,97.56480754,9
9,93.40659341,98.03613511,10
9,93.95604396,98.2717989,11
9,94.23076923,98.50746269,12
9,94.50549451,98.66457188,13
9,95.05494505,99.13589945,14
9,94.78021978,99.37156324,15
9,94.78021978,99.52867243,16
9,95.32967033,99.60722702,17
9,95.87912088,99.60722702,18
9,95.87912088,99.9214454,19
9,95.87912088,99.9214454,20
10,78.2967033,81.85388845,1
10,93.40659341,95.75805185,2
10,93.68131868,97.25058916,3
10,93.68131868,97.40769835,4
10,93.13186813,97.09347997,5
10,93.13186813,96.5435978,6
10,93.13186813,96.46504321,7
10,93.13186813,97.01492537,8
10,93.13186813,97.56480754,9
10,93.40659341,98.03613511,10
10,93.95604396,98.2717989,11
10,94.23076923,98.50746269,12
10,94.50549451,98.66457188,13
10,95.05494505,99.13589945,14
10,95.05494505,99.37156324,15
10,94.78021978,99.52867243,16
10,95.32967033,99.60722702,17
10,95.87912088,99.60722702,18
10,95.87912088,99.9214454,19
10,95.87912088,99.9214454,20
11,78.2967033,81.93244305,1
11,93.40659341,95.75805185,2
11,93.68131868,97.25058916,3
11,93.68131868,97.40769835,4
11,93.13186813,97.09347997,5
11,93.13186813,96.5435978,6
11,93.13186813,96.46504321,7
11,93.13186813,97.01492537,8
11,93.40659341,97.56480754,9
11,93.40659341,98.03613511,10
11,93.95604396,98.2717989,11
11,94.23076923,98.50746269,12
11,94.50549451,98.66457188,13
11,95.05494505,99.13589945,14
11,95.05494505,99.37156324,15
11,94.78021978,99.52867243,16
11,95.32967033,99.60722702,17
11,95.87912088,99.60722702,18
11,95.87912088,99.9214454,19
11,95.87912088,99.9214454,20
12,78.2967033,81.93244305,1
12,93.40659341,95.75805185,2
12,93.68131868,97.25058916,3
12,93.95604396,97.40769835,4
12,93.13186813,97.09347997,5
12,93.13186813,96.5435978,6
12,93.13186813,96.46504321,7
12,93.13186813,97.01492537,8
12,93.40659341,97.56480754,9
12,93.40659341,98.03613511,10
12,93.95604396,98.2717989,11
12,94.23076923,98.50746269,12
12,94.50549451,98.66457188,13
12,95.05494505,99.13589945,14
12,95.32967033,99.37156324,15
12,94.78021978,99.52867243,16
12,95.32967033,99.60722702,17
12,95.87912088,99.60722702,18
12,95.87912088,99.9214454,19
12,95.87912088,99.9214454,20
13,78.2967033,81.85388845,1
13,93.40659341,95.75805185,2
13,93.68131868,97.17203456,3
13,93.95604396,97.40769835,4
13,93.13186813,97.17203456,5
13,93.13186813,96.5435978,6
13,93.13186813,96.46504321,7
13,93.13186813,97.01492537,8
13,93.40659341,97.56480754,9
13,93.40659341,98.03613511,10
13,93.95604396,98.2717989,11
13,94.23076923,98.50746269,12
13,94.50549451,98.66457188,13
13,95.05494505,99.13589945,14
13,95.32967033,99.37156324,15
13,94.78021978,99.52867243,16
13,95.32967033,99.60722702,17
13,95.87912088,99.60722702,18
13,95.87912088,99.9214454,19
13,95.87912088,99.9214454,20
14,78.2967033,81.93244305,1
14,93.40659341,95.75805185,2
14,93.68131868,97.17203456,3
14,93.95604396,97.32914375,4
14,93.13186813,97.17203456,5
